category_name_th,makroClick_id,product_name,product_price,unit_price,product_image,date
butchery,854413,โปร บุชเชอร์ เนื้อสะโพกวัวไทยวากิวสไลซ์แช่แข็ง 250 กรัม,159.00,159.00,https://ocs-k8s-prod.s3.ap-southeast-1.amazonaws.com/PRODUCT_RIBBON_1569837775082.png,2020-09-27 09:29:21.610722
butchery,133735,พีเอสฟู้ดส์ หมูบดแช่แข็ง 1 กก. x 10 ถุง (ยกลัง),"1,340.00",134.00,https://ocs-k8s-prod.s3.ap-southeast-1.amazonaws.com/PRODUCT_1590044739553.jpeg,2020-09-27 09:29:21.732155
butchery,133737,พีเอสฟู้ดส์ หมูบดแช่แข็ง 1 กิโลกรัม,135.00,135.00,https://ocs-k8s-prod.s3.ap-southeast-1.amazonaws.com/PRODUCT_RIBBON_1569837775082.png,2020-09-27 09:29:21.848450
butchery,105864,พีเอสฟู้ดส์ ตับหมูกระทะแช่แข็ง 1 กก. x 10 ถุง (ยกลัง),780.00,78.00,https://ocs-k8s-prod.s3.ap-southeast-1.amazonaws.com/PRODUCT_1592876012841.jpeg,2020-09-27 09:29:21.970725
butchery,208978,สามชั้นหมูกระทะแช่แข็ง 1000 กรัม x 10 ถุง (ยกลัง),"1,440.00",144.00,https://ocs-k8s-prod.s3.ap-southeast-1.amazonaws.com/PRODUCT_RIBBON_1569837775082.png,2020-09-27 09:29:22.134838
butchery,173595,ซีพี เครื่องในไก่รวม แพ็ค 500 กรัม,43.00,43.00,https://ocs-k8s-prod.s3.ap-southeast-1.amazonaws.com/PRODUCT_1587220184053.jpeg,2020-09-27 09:29:22.251572
butchery,139637,ซีพี ปีกกลางไก่ แพ็ค 500 กรัม,80.00,80.00,https://ocs-k8s-prod.s3.ap-southeast-1.amazonaws.com/PRODUCT_RIBBON_1569837775082.png,2020-09-27 09:29:22.367891
butchery,855482,หมูเด้งปรุงรส สูตร1 (ผสมไก่) แพ็คละ 500 กรัม,65.00,65.00,https://ocs-k8s-prod.s3.ap-southeast-1.amazonaws.com/PRODUCT_1587222663092.jpeg,2020-09-27 09:29:22.485293
butchery,855478,หมูบะช่อปรุงรส แพ็คละ 500 กรัม,75.00,75.00,https://ocs-k8s-prod.s3.ap-southeast-1.amazonaws.com/PRODUCT_1571287514353.jpeg,2020-09-27 09:29:22.596442
butchery,855486,ทอดมันหมูเด้ง (ผสมไก่) แพ็คละ 500 กรัม,75.00,75.00,https://ocs-k8s-prod.s3.ap-southeast-1.amazonaws.com/PRODUCT_1598240111177.jpeg,2020-09-27 09:29:22.712347
butchery,855484,หมูเด้งปรุงรส สูตร2 (ผสมไก่) แพ็คละ 500 กรัม,55.00,55.00,https://ocs-k8s-prod.s3.ap-southeast-1.amazonaws.com/PRODUCT_1598238340657.jpeg,2020-09-27 09:29:22.827954
butchery,845241,ซีพี เนื้อไก่บดแช่แข็ง 1 กิโลกรัม,35.00,35.00,https://ocs-k8s-prod.s3.ap-southeast-1.amazonaws.com/PRODUCT_1589512818221.jpeg,2020-09-27 09:29:22.944723
butchery,827018,หมูปิ้งนมสด แช่แข็ง 45 กรัม x 100 ไม้,645.00,6.45,https://ocs-k8s-prod.s3.ap-southeast-1.amazonaws.com/PRODUCT_1589512867454.jpeg,2020-09-27 09:29:23.058902
butchery,837487,เอโร่ อกไก่ลอกหนังหั่นชิ้น 200 กรัม x 5 แพ็ค,80.00,80.00,https://ocs-k8s-prod.s3.ap-southeast-1.amazonaws.com/PRODUCT_1589512890498.jpeg,2020-09-27 09:29:23.174053
