category_name_th,makroClick_id,product_name,product_price,unit_price,product_image,date
cleaning-products,106057,แอทแทค ทรีดี ผงซักฟอก สูตรเข้มข้น คลีนแอ็คชั่น สีฟ้า 1700 กรัม,99.00,99.00,https://ocs-k8s-prod.s3.ap-southeast-1.amazonaws.com/PRODUCT_RIBBON_1586511491495.png,2020-09-27 09:34:49.404886
cleaning-products,153419,แอทแทค ทรีดี ผงซักฟอก สูตรเข้มข้น ซอฟท์ โรแมนติก เลิฟ สีชมพู 1600 กรัม,99.00,99.00,https://ocs-k8s-prod.s3.ap-southeast-1.amazonaws.com/PRODUCT_1592397190135.jpeg,2020-09-27 09:34:49.520084
cleaning-products,562055,ไฟนไลน์ น้ำยาปรับผ้านุ่ม สูตรมาตรฐาน สีม่วง 580 มล. x 24,275.00,275.00,https://ocs-k8s-prod.s3.ap-southeast-1.amazonaws.com/PRODUCT_RIBBON_1586511491495.png,2020-09-27 09:34:49.641238
cleaning-products,562042,ไฟนไลน์ น้ำยาปรับผ้านุ่ม สูตรมาตรฐาน สีชมพู 580 มล. x 24,275.00,275.00,https://ocs-k8s-prod.s3.ap-southeast-1.amazonaws.com/PRODUCT_1592397211539.jpeg,2020-09-27 09:34:49.757244
cleaning-products,853044,ไฟนไลน์ น้ำยาปรับผ้านุ่ม สูตรมาตรฐาน สีฟ้า 580 มล. x 24,275.00,275.00,https://ocs-k8s-prod.s3.ap-southeast-1.amazonaws.com/PRODUCT_1592372292822.jpeg,2020-09-27 09:34:49.873141
cleaning-products,853043,ไฟนไลน์ น้ำยาปรับผ้านุ่ม สูตรมาตรฐาน สีขาว 580 มล. x 24,275.00,275.00,https://ocs-k8s-prod.s3.ap-southeast-1.amazonaws.com/PRODUCT_1592372254978.jpeg,2020-09-27 09:34:49.989795
cleaning-products,853042,ไฟนไลน์ น้ำยาปรับผ้านุ่ม สูตรมาตรฐาน สีชมพูดำ 580 มล. x 24,275.00,275.00,https://ocs-k8s-prod.s3.ap-southeast-1.amazonaws.com/PRODUCT_1592372629154.jpeg,2020-09-27 09:34:50.104729
cleaning-products,853045,ไฟนไลน์ น้ำยาปรับผ้านุ่ม สูตรมาตรฐาน สีแดง 580 มล. x 24,275.00,275.00,https://ocs-k8s-prod.s3.ap-southeast-1.amazonaws.com/PRODUCT_1592372490078.jpeg,2020-09-27 09:34:50.220417
cleaning-products,217996,ไฟนไลน์ น้ำยาปรับผ้านุ่ม สูตรมาตรฐาน สีขาว 580 มล. x 3 ถุง,35.00,11.67,https://ocs-k8s-prod.s3.ap-southeast-1.amazonaws.com/PRODUCT_1592372501311.jpeg,2020-09-27 09:34:50.338793
cleaning-products,134115,ไฟนไลน์ น้ำยาปรับผ้านุ่ม สูตรมาตรฐาน สีฟ้า 580 มล. x 3 ถุง,35.00,11.67,https://ocs-k8s-prod.s3.ap-southeast-1.amazonaws.com/PRODUCT_1592372604916.jpeg,2020-09-27 09:34:50.460831
cleaning-products,838383,ไฟนไลน์ น้ำยาปรับผ้านุ่ม สูตรมาตรฐาน สีชมพูดำ 580 มล. x 3,35.00,11.67,https://ocs-k8s-prod.s3.ap-southeast-1.amazonaws.com/PRODUCT_1592397228908.jpeg,2020-09-27 09:34:50.575857
cleaning-products,134114,ไฟนไลน์ น้ำยาปรับผ้านุ่ม สูตรมาตรฐาน สีชมพู 580 มล. x 3 ถุง,35.00,11.67,https://ocs-k8s-prod.s3.ap-southeast-1.amazonaws.com/PRODUCT_1592397216562.jpeg,2020-09-27 09:34:50.694713
