category_name_th,makroClick_id,product_name,product_price,unit_price,product_image,date
households,103571,ซาติน หมอนหนุนใยสังเคราะห์ ขนาด 19x29 นิ้ว,119.00,119.00,https://ocs-k8s-prod.s3.ap-southeast-1.amazonaws.com/PRODUCT_1588345558152.jpeg,2020-09-27 09:34:20.193824
households,103529,ซาติน หมอนข้างใยสังเคราะห์,159.00,159.00,https://ocs-k8s-prod.s3.ap-southeast-1.amazonaws.com/PRODUCT_1580974352902.jpeg,2020-09-27 09:34:20.325090
households,856261,โลตัส ที่นอนปิกนิก 3.5 ฟุต ลาย TROLL,599.00,599.00,https://ocs-k8s-prod.s3.ap-southeast-1.amazonaws.com/PRODUCT_1597992194621.jpeg,2020-09-27 09:34:20.443780
households,862509,เอโร่ ผ้ากันเปื้อนเต็มตัว รุ่น T221 สียีนส์,259.00,259.00,https://ocs-k8s-prod.s3.ap-southeast-1.amazonaws.com/PRODUCT_1600834073231.jpeg,2020-09-27 09:34:20.561056
households,862510,เอโร่ ผ้ากันเปื้อนเต็มตัว รุ่น T221 สีดำ,259.00,259.00,https://ocs-k8s-prod.s3.ap-southeast-1.amazonaws.com/PRODUCT_1600834043606.jpeg,2020-09-27 09:34:20.677339
households,862512,เอโร่ ผ้ากันเปื้อนเต็มตัว รุ่น T222 สีดำ,259.00,259.00,https://ocs-k8s-prod.s3.ap-southeast-1.amazonaws.com/PRODUCT_1600834025646.jpeg,2020-09-27 09:34:20.805807
households,862506,เอโร่ ผ้ากันเปื้อนเต็มตัว รุ่น T219 สีดำ,259.00,259.00,https://ocs-k8s-prod.s3.ap-southeast-1.amazonaws.com/PRODUCT_1600833944774.jpeg,2020-09-27 09:34:20.928104
households,853661,ถาดใส่เบเกอรี่เหลี่ยม พร้อมฝาโดม,490.00,490.00,https://ocs-k8s-prod.s3.ap-southeast-1.amazonaws.com/PRODUCT_1600779359602.jpeg,2020-09-27 09:34:21.042506
households,861159,ป้ายตกแต่งรูปแก้วกาแฟ เซ็ต B 20x30 ซม. คละแบบ x 1 ชิ้น,79.00,79.00,https://ocs-k8s-prod.s3.ap-southeast-1.amazonaws.com/PRODUCT_1601004284415.jpeg,2020-09-27 09:34:21.160086
households,862505,เอโร่ ผ้ากันเปื้อนเต็มตัว รุ่น T219 สียีนส์,259.00,259.00,https://ocs-k8s-prod.s3.ap-southeast-1.amazonaws.com/PRODUCT_1600833926097.jpeg,2020-09-27 09:34:21.288557
households,862508,เอโร่ ผ้ากันเปื้อนเต็มตัว รุ่น T220 สีดำ,259.00,259.00,https://ocs-k8s-prod.s3.ap-southeast-1.amazonaws.com/PRODUCT_1600833862156.jpeg,2020-09-27 09:34:21.415761
households,862507,เอโร่ ผ้ากันเปื้อนเต็มตัว รุ่น T220 สียีนส์,259.00,259.00,https://ocs-k8s-prod.s3.ap-southeast-1.amazonaws.com/PRODUCT_1600833820524.jpeg,2020-09-27 09:34:21.542212
households,861658,ชุดโหลกลม ฝาเกลียว x 12 ใบ,199.00,16.58,https://ocs-k8s-prod.s3.ap-southeast-1.amazonaws.com/PRODUCT_1600314628391.jpeg,2020-09-27 09:34:24.830072
households,182490,ผ้าใบพลาสติก สีเงิน ขนาด 4x6 ม.,739.00,739.00,https://ocs-k8s-prod.s3.ap-southeast-1.amazonaws.com/PRODUCT_1594897820194.jpeg,2020-09-27 09:34:24.945531
households,180164,จรวด ชามผสมแป้ง 30 ซม.,315.00,315.00,https://ocs-k8s-prod.s3.ap-southeast-1.amazonaws.com/PRODUCT_1589518082643.jpeg,2020-09-27 09:34:25.057045
households,777295,โต๊ะพับอเนกประสงค์ หน้าโฟเมก้า ขนาด 120x60 ซม.,"1,490.00","1,490.00",https://ocs-k8s-prod.s3.ap-southeast-1.amazonaws.com/PRODUCT_1578309514858.jpeg,2020-09-27 09:34:25.173592
households,162673,เซพแพ็ค กล่องล้อเลื่อน พร้อมฝาล็อก ความจุ 42 ลิตร,89.00,89.00,https://ocs-k8s-prod.s3.ap-southeast-1.amazonaws.com/PRODUCT_1567742732663.jpeg,2020-09-27 09:34:25.291450
households,201919,ซีกัล หม้อชาบู ขนาด 26 ซม. 2 ช่อง,665.00,665.00,https://ocs-k8s-prod.s3.ap-southeast-1.amazonaws.com/PRODUCT_1565176030760.jpeg,2020-09-27 09:34:25.401417
households,27833,จรวด หม้อต้มสตูว์ทรงสูง ขนาด 26 ซม.,729.00,729.00,https://ocs-k8s-prod.s3.ap-southeast-1.amazonaws.com/product/27833.jpg,2020-09-27 09:34:25.518349
households,144984,จรวด หม้อต้มสตูว์ทรงสูง ขนาด 30 ซม.,829.00,829.00,https://ocs-k8s-prod.s3.ap-southeast-1.amazonaws.com/PRODUCT_1592530570572.jpeg,2020-09-27 09:34:25.640876
households,829026,ซีกัล แท่งลับมีด โปร 10 นิ้ว,320.00,320.00,https://ocs-k8s-prod.s3.ap-southeast-1.amazonaws.com/PRODUCT_1592530690784.jpeg,2020-09-27 09:34:25.757973
households,104242,ซีกัล กระทะด้าม กลาดิเอเตอร์ โฟร์ดีเอ็กซ์ ขนาด 30 ซม.,675.00,675.00,https://ocs-k8s-prod.s3.ap-southeast-1.amazonaws.com/product/104242.png,2020-09-27 09:34:25.868874
households,180166,จรวด หม้อไฟ ขนาด 20 ซม.,199.00,199.00,https://ocs-k8s-prod.s3.ap-southeast-1.amazonaws.com/PRODUCT_1590232124389.jpeg,2020-09-27 09:34:25.979607
households,777000,เอโร่ โต๊ะพับหน้าเหล็ก ขนาด 4 ฟุต,799.00,799.00,https://ocs-k8s-prod.s3.ap-southeast-1.amazonaws.com/product/777000.jpg,2020-09-27 09:34:26.098103
households,589719,เอโร่ หลอดกาแฟสั้น x 10 ห่อ,85.00,0.85,https://ocs-k8s-prod.s3.ap-southeast-1.amazonaws.com/PRODUCT_1600663583261.jpeg,2020-09-27 09:34:29.432945
households,807464,เซพแพ็ค ผ้าเช็ดผม สีชมพู ขนาด 15x30 นิ้ว แพ็คคู่,129.00,129.00,https://ocs-k8s-prod.s3.ap-southeast-1.amazonaws.com/PRODUCT_1592464708351.jpeg,2020-09-27 09:34:29.554638
households,831461,เซพแพ็ค ผ้าขนหนูคอตตอน สีส้ม ขนาด 15x30 นิ้ว แพ็คคู่,129.00,64.50,https://ocs-k8s-prod.s3.ap-southeast-1.amazonaws.com/PRODUCT_1588509685831.jpeg,2020-09-27 09:34:29.674489
households,858757,เอโร่ ผ้าขนหนูนาโน ขนาด 30x60 นิ้ว สีเหลือง,149.00,149.00,https://ocs-k8s-prod.s3.ap-southeast-1.amazonaws.com/PRODUCT_1592394343929.jpeg,2020-09-27 09:34:29.791427
households,807453,เซพแพ็ค ผ้าเช็ดหน้า สีฟ้า ขนาด 12x12 นิ้ว แพ็ค 5 ผืน,99.00,99.00,https://ocs-k8s-prod.s3.ap-southeast-1.amazonaws.com/PRODUCT_1592464585779.jpeg,2020-09-27 09:34:29.915160
households,858759,เอโร่ ผ้าขนหนูนาโน ขนาด 30x60 นิ้ว สีแดง,149.00,149.00,https://ocs-k8s-prod.s3.ap-southeast-1.amazonaws.com/PRODUCT_1592394437727.jpeg,2020-09-27 09:34:30.032541
households,858758,เอโร่ ผ้าขนหนูนาโน ขนาด 30x60 นิ้ว สีน้ำเงิน,149.00,149.00,https://ocs-k8s-prod.s3.ap-southeast-1.amazonaws.com/PRODUCT_1592464694845.jpeg,2020-09-27 09:34:30.153691
households,858756,เอโร่ ผ้าขนหนูนาโน ขนาด 30x60 นิ้ว สีน้ำตาล,149.00,149.00,https://ocs-k8s-prod.s3.ap-southeast-1.amazonaws.com/PRODUCT_1592394297050.jpeg,2020-09-27 09:34:30.274742
households,807473,เซพแพ็ค ผ้าเช็ดตัว สีเหลือง ขนาด 30x60 นิ้ว,159.00,159.00,https://ocs-k8s-prod.s3.ap-southeast-1.amazonaws.com/PRODUCT_1592464699610.jpeg,2020-09-27 09:34:30.437985
households,858754,เอโร่ ผ้าขนหนูนาโน ขนาด 30x60 นิ้ว สีครีม,149.00,149.00,https://ocs-k8s-prod.s3.ap-southeast-1.amazonaws.com/PRODUCT_1592394242964.jpeg,2020-09-27 09:34:30.556528
households,858755,เอโร่ ผ้าขนหนูนาโน ขนาด 30x60 นิ้ว สีเทาเข้ม,149.00,149.00,https://ocs-k8s-prod.s3.ap-southeast-1.amazonaws.com/PRODUCT_1592464619459.jpeg,2020-09-27 09:34:30.674478
households,807468,เซพแพ็ค ผ้าเช็ดผม สีเหลือง ขนาด 15x30 นิ้ว แพ็คคู่,129.00,129.00,https://ocs-k8s-prod.s3.ap-southeast-1.amazonaws.com/PRODUCT_1592464607404.jpeg,2020-09-27 09:34:30.789731
households,157345,โลตัส หมอนข้าง ใยสังเคราะห์,229.00,229.00,https://ocs-k8s-prod.s3.ap-southeast-1.amazonaws.com/PRODUCT_1565175517057.jpeg,2020-09-27 09:34:34.102080
households,848749,โนบูรุ โต๊ะอเนกประสงค์ ขนาด 60x120 ซม. สีโอ๊คขาว,575.00,575.00,https://ocs-k8s-prod.s3.ap-southeast-1.amazonaws.com/PRODUCT_1565758126739.jpeg,2020-09-27 09:34:34.217134
households,846029,ซุปเปอร์แวร์ เก้าอี้พนักพิงเท้าแขน คละสี รุ่น CH-67,217.00,217.00,https://ocs-k8s-prod.s3.ap-southeast-1.amazonaws.com/PRODUCT_1592464703261.jpeg,2020-09-27 09:34:34.333705
households,850997,ชุดโต๊ะกินข้าวม้านั่งยาว 120x60 ซม.,"2,790.00","2,790.00",https://ocs-k8s-prod.s3.ap-southeast-1.amazonaws.com/PRODUCT_1571719009116.jpeg,2020-09-27 09:34:34.448067
households,829433,กล่องล้อเลื่อนพลาสติก ความจุ 35 ลิตร รุ่น 2444 สีน้ำตาล,139.00,139.00,https://ocs-k8s-prod.s3.ap-southeast-1.amazonaws.com/PRODUCT_1566371437932.jpeg,2020-09-27 09:34:34.560473
households,859261,เจซีเจ กล่องอาหารทรงสี่เหลี่ยมจัตุรัสแบ่งช่อง ความจุ 870 มล. รุ่น 9323-4,59.00,59.00,https://ocs-k8s-prod.s3.ap-southeast-1.amazonaws.com/PRODUCT_1592464584624.jpeg,2020-09-27 09:34:34.673578
households,137731,เอโร่ แก้วน้ำ PP ใส ขนาด 16 ออนซ์ แพ็ค 50 ใบ,38.00,0.76,https://ocs-k8s-prod.s3.ap-southeast-1.amazonaws.com/product/137731.jpg,2020-09-27 09:34:34.795525
