category_name_th,makroClick_id,product_name,product_price,unit_price,product_image,date
processed-meat,210626,บุชเชอร์ พิซซ่าชีสซอสเซจ 500 กรัม,185.00,185.00,https://ocs-k8s-prod.s3.ap-southeast-1.amazonaws.com/product/210626.png,2020-09-27 09:31:33.713235
processed-meat,202607,บุชเชอร์ ไส้กรอกไก่ ชิกเก้นเวิร์สท ชิลลี่ 500 กรัม,165.00,165.00,https://ocs-k8s-prod.s3.ap-southeast-1.amazonaws.com/PRODUCT_1598495212937.jpeg,2020-09-27 09:31:33.823059
processed-meat,214558,บุชเชอร์ แฮมขาหมูปรุงสุก ไม่มีกระดูก 700 กรัม,279.00,279.00,https://ocs-k8s-prod.s3.ap-southeast-1.amazonaws.com/PRODUCT_1598262247921.jpeg,2020-09-27 09:31:33.935424
processed-meat,807562,บุชเชอร์ ไส้กรอกชไวเวิร์สทหมู 500 กรัม,189.00,189.00,https://ocs-k8s-prod.s3.ap-southeast-1.amazonaws.com/PRODUCT_1598262222145.jpeg,2020-09-27 09:31:34.048838
processed-meat,807563,บุชเชอร์ ไส้กรอกชไวเวิร์สทชิลลี่ 500 กรัม,189.00,189.00,https://ocs-k8s-prod.s3.ap-southeast-1.amazonaws.com/PRODUCT_1598262198838.jpeg,2020-09-27 09:31:34.168909
processed-meat,218666,บุชเชอร์ ไส้กรอกหมู แฟรงก์เฟิร์ตเตอร์ 1000 กรัม,220.00,220.00,https://ocs-k8s-prod.s3.ap-southeast-1.amazonaws.com/PRODUCT_1598261340618.jpeg,2020-09-27 09:31:34.278835
processed-meat,202601,บุชเชอร์ ไส้กรอกบราทเวิร์สท 500 กรัม,175.00,175.00,https://ocs-k8s-prod.s3.ap-southeast-1.amazonaws.com/PRODUCT_1598262142530.jpeg,2020-09-27 09:31:34.393188
processed-meat,853427,บุชเชอร์ ไส้กรอกหมูผสมไก่และชีส เชดดาร์เวิร์สท 500 กรัม,185.00,185.00,https://ocs-k8s-prod.s3.ap-southeast-1.amazonaws.com/PRODUCT_1597024391132.jpeg,2020-09-27 09:31:34.508729
processed-meat,218730,บุชเชอร์ ไส้กรอกไก่ ชิกเก้นเวิร์สท 1000 กรัม,199.00,199.00,https://ocs-k8s-prod.s3.ap-southeast-1.amazonaws.com/PRODUCT_1598495241666.jpeg,2020-09-27 09:31:34.624706
processed-meat,202606,บุชเชอร์ ไส้กรอกซิงเคนเวิร์สท 500 กรัม,165.00,165.00,https://ocs-k8s-prod.s3.ap-southeast-1.amazonaws.com/PRODUCT_1598262174403.jpeg,2020-09-27 09:31:34.734438
processed-meat,202604,บุชเชอร์ รอยเชอร์เวิร์สท 500 กรัม,139.00,139.00,https://ocs-k8s-prod.s3.ap-southeast-1.amazonaws.com/PRODUCT_1597033789843.jpeg,2020-09-27 09:31:34.848868
processed-meat,214560,บุชเชอร์ โทสต์เบคอน 1000 กรัม,269.00,269.00,https://ocs-k8s-prod.s3.ap-southeast-1.amazonaws.com/PRODUCT_1598261395417.jpeg,2020-09-27 09:31:34.959408
processed-meat,813958,หมูสองตัว เบคอนรมควันแบบหั่น 500 กรัม,159.00,159.00,https://ocs-k8s-prod.s3.ap-southeast-1.amazonaws.com/PRODUCT_1593140538459.jpeg,2020-09-27 09:31:38.235406
processed-meat,805746,ทีจีเอ็ม แคนาเดียนเบค่อน 500 กรัม,235.00,235.00,https://ocs-k8s-prod.s3.ap-southeast-1.amazonaws.com/PRODUCT_1586071595575.jpeg,2020-09-27 09:31:38.351619
processed-meat,118996,หมูสองตัว เบค่อน 1000 กรัม,389.00,389.00,https://ocs-k8s-prod.s3.ap-southeast-1.amazonaws.com/PRODUCT_1587389424199.jpeg,2020-09-27 09:31:38.474531
processed-meat,135530,ทีจีเอ็ม โทสต์แฮม 500 กรัม,179.00,179.00,https://ocs-k8s-prod.s3.ap-southeast-1.amazonaws.com/PRODUCT_1593422440486.jpeg,2020-09-27 09:31:38.589419
processed-meat,119370,หมูสองตัว คุ้กแฮมขนาด 5X6 นิ้ว 1000 กรัม,299.00,299.00,https://ocs-k8s-prod.s3.ap-southeast-1.amazonaws.com/PRODUCT_1593155962971.jpeg,2020-09-27 09:31:38.700853
processed-meat,120541,หมูสองตัว เบค่อนรมควัน 1000 กรัม,409.00,409.00,https://ocs-k8s-prod.s3.ap-southeast-1.amazonaws.com/product/120541.jpg,2020-09-27 09:31:38.814622
processed-meat,189023,หมูสองตัว เบค่อนบาร์บีคิว 1000 กรัม,259.00,259.00,https://ocs-k8s-prod.s3.ap-southeast-1.amazonaws.com/PRODUCT_1587474879738.jpeg,2020-09-27 09:31:38.934669
processed-meat,206781,เอโร่ เบคอน 1000 กรัม,359.00,359.00,https://ocs-k8s-prod.s3.ap-southeast-1.amazonaws.com/product/206781.jpg,2020-09-27 09:31:39.045519
processed-meat,135564,ทีจีเอ็ม เบค่อนรมควัน 500 กรัม,229.00,229.00,https://ocs-k8s-prod.s3.ap-southeast-1.amazonaws.com/PRODUCT_1593140682938.jpeg,2020-09-27 09:31:39.164197
processed-meat,811424,เอโร่ ไส้กรอกชีสไก่ 1000 กรัม,159.00,159.00,https://ocs-k8s-prod.s3.ap-southeast-1.amazonaws.com/PRODUCT_1593146488655.jpeg,2020-09-27 09:31:39.280629
processed-meat,101544,เอโร่ แฮมหมู 1000 กรัม,279.00,279.00,https://ocs-k8s-prod.s3.ap-southeast-1.amazonaws.com/PRODUCT_1587388701899.jpeg,2020-09-27 09:31:39.404358
processed-meat,267384,แต้จิ๋ว ลูกชิ้นปลาบัวลอย 400 กรัม,89.00,89.00,https://ocs-k8s-prod.s3.ap-southeast-1.amazonaws.com/PRODUCT_1594111525357.jpeg,2020-09-27 09:31:39.516211
processed-meat,111395,เอโร่ ปลาเส้นทอด 1000 กรัม,103.00,103.00,https://ocs-k8s-prod.s3.ap-southeast-1.amazonaws.com/product/111395.jpg,2020-09-27 09:31:42.803912
processed-meat,825432,บีเคพี โบโลน่าไก่ 450 กรัม,63.00,63.00,https://ocs-k8s-prod.s3.ap-southeast-1.amazonaws.com/PRODUCT_1593154389946.jpeg,2020-09-27 09:31:42.914950
processed-meat,825430,บีเคพี โบโลน่าไก่พริก 450 กรัม,63.00,63.00,https://ocs-k8s-prod.s3.ap-southeast-1.amazonaws.com/PRODUCT_1593154208818.jpeg,2020-09-27 09:31:43.033850
processed-meat,227059,ซูเปอร์ เชฟ ไส้กรอกไก่หนังกรอบ 500 กรัม,67.00,67.00,https://ocs-k8s-prod.s3.ap-southeast-1.amazonaws.com/PRODUCT_1587541597594.jpeg,2020-09-27 09:31:43.151461
processed-meat,207488,หมูแชมป์ ลูกชิ้นเอ็นหมู 1000 กรัม,136.00,136.00,https://ocs-k8s-prod.s3.ap-southeast-1.amazonaws.com/PRODUCT_1587541346499.jpeg,2020-09-27 09:31:43.264604
processed-meat,161743,หมูแชมป์ ลูกชิ้นหมู 1000 กรัม,136.00,136.00,https://ocs-k8s-prod.s3.ap-southeast-1.amazonaws.com/product/161743.jpg,2020-09-27 09:31:43.378527
processed-meat,236235,บีเคพี ไส้กรอกแฟรงค์ไก่รมควันหนังกรอบ 500 กรัม,63.00,63.00,https://ocs-k8s-prod.s3.ap-southeast-1.amazonaws.com/PRODUCT_1587541758681.jpeg,2020-09-27 09:31:43.502980
processed-meat,220153,หมูยิ้ม ลูกชิ้นหมูเสียบไม้พร้อมน้ำจิ้ม 20 ไม้,65.00,3.25,https://ocs-k8s-prod.s3.ap-southeast-1.amazonaws.com/PRODUCT_RIBBON_1589873004683.png,2020-09-27 09:31:43.623011
processed-meat,100922,เอโร่ ลูกชิ้นปลาผสมเนื้อกุ้งทอด 1000 กรัม,103.00,103.00,https://ocs-k8s-prod.s3.ap-southeast-1.amazonaws.com/PRODUCT_1593163253371.jpeg,2020-09-27 09:31:43.739946
processed-meat,100921,เอโร่ ลูกชิ้นปลารักบี้ 1000 กรัม,103.00,103.00,https://ocs-k8s-prod.s3.ap-southeast-1.amazonaws.com/product/100922.jpg,2020-09-27 09:31:43.854367
processed-meat,111394,เอโร่ ปลาเส้นต้ม 1000 กรัม,103.00,103.00,https://ocs-k8s-prod.s3.ap-southeast-1.amazonaws.com/product/100921.jpg,2020-09-27 09:31:43.967430
processed-meat,100920,เอโร่ ลูกชิ้นปลากลมขนาดใหญ่ 1000 กรัม,103.00,103.00,https://ocs-k8s-prod.s3.ap-southeast-1.amazonaws.com/product/111394.jpg,2020-09-27 09:31:44.088487
processed-meat,843448,เอเอฟเอ็ม ไส้กรอกไก่จัมโบ้ทองสอดไส้ชีส 500 กรัม,55.00,55.00,https://ocs-k8s-prod.s3.ap-southeast-1.amazonaws.com/product/100920.jpg,2020-09-27 09:31:44.203929
processed-meat,850623,เอโร่ ไก่ยอสูตรพริกไทยดำแบบเส้นยาว 1000 กรัม,95.00,95.00,https://ocs-k8s-prod.s3.ap-southeast-1.amazonaws.com/PRODUCT_1586060498183.jpeg,2020-09-27 09:31:47.514776
processed-meat,855110,แหนมดอนเมืองกม.26 แหนมเอ็นข้อไก่ 250 กรัม x 2,129.00,129.00,https://ocs-k8s-prod.s3.ap-southeast-1.amazonaws.com/PRODUCT_1586060765144.jpeg,2020-09-27 09:31:47.625670
processed-meat,855112,แหนมดอนเมืองกม.26 แหนมกระดูกอ่อน 200 กรัม x 2,129.00,129.00,https://ocs-k8s-prod.s3.ap-southeast-1.amazonaws.com/PRODUCT_1586053521129.jpeg,2020-09-27 09:31:47.739927
processed-meat,842575,เจ้าสัว หมูหยอง 18 กรัม x 6 ชิ้น,89.00,89.00,https://ocs-k8s-prod.s3.ap-southeast-1.amazonaws.com/PRODUCT_1587543062572.jpeg,2020-09-27 09:31:47.858356
